entry,timeGMT,timeELA_s,CRC,exec,currSpeed_01_RPM,refSpeed_01_RPM,state,clcMode,voltage_V,current_mA,power_mW,testName,rwID,startTime
1,06:57:14 GMT,0.407,spiError,5.028,6.7,33.688,currTest,RW0-0072,20200914235713
2,06:57:14 GMT,0.826,1,1,0,0,4,1,5.048,6.2,31.298,currTest,RW0-0072,20200914235713
3,06:57:15 GMT,1.244,1,1,0,0,1,1,5.06,10.0,50.6,currTest,RW0-0072,20200914235713
4,06:57:15 GMT,1.663,1,1,0,0,1,1,5.052,7.0,35.364,currTest,RW0-0072,20200914235713
5,06:57:15 GMT,2.082,spiError,5.072,4.6,23.331,currTest,RW0-0072,20200914235713
6,06:57:16 GMT,2.5,spiError,5.056,6.5,32.864,currTest,RW0-0072,20200914235713
7,06:57:16 GMT,2.919,1,1,0,0,1,1,5.048,9.1,45.937,currTest,RW0-0072,20200914235713
8,06:57:17 GMT,3.338,1,1,0,0,1,1,5.072,5.4,27.389,currTest,RW0-0072,20200914235713
9,06:57:17 GMT,3.757,1,1,0,0,1,1,5.056,8.3,41.965,currTest,RW0-0072,20200914235713
10,06:57:18 GMT,4.175,spiError,5.044,6.9,34.804,currTest,RW0-0072,20200914235713
11,06:57:18 GMT,4.594,1,1,0,0,1,1,5.06,6.4,32.384,currTest,RW0-0072,20200914235713
12,06:57:18 GMT,5.013,1,1,0,0,1,1,5.052,7.0,35.364,currTest,RW0-0072,20200914235713
13,06:57:19 GMT,5.432,1,1,0,0,1,1,5.064,7.8,39.499,currTest,RW0-0072,20200914235713
