entry,timeGMT,timeELA_s,CRC,exec,currSpeed_01_RPM,refSpeed_01_RPM,state,clcMode,voltage_V,current_mA,power_mW,testName,rwID,startTime
1,07:48:41 GMT,0.407,1,1,0,0,1,1,5.036,12.2,61.439,currTest,RW0-0072,20200915004840
2,07:48:41 GMT,0.825,1,1,0,0,1,1,5.056,8.8,44.493,currTest,RW0-0072,20200915004840
3,07:48:42 GMT,1.244,1,1,0,0,1,1,5.068,5.5,27.874,currTest,RW0-0072,20200915004840
4,07:48:42 GMT,1.662,1,1,0,0,1,1,5.06,6.4,32.384,currTest,RW0-0072,20200915004840
5,07:48:42 GMT,2.081,1,1,0,0,1,1,5.056,10.1,51.066,currTest,RW0-0072,20200915004840
6,07:48:43 GMT,2.499,1,1,0,0,1,1,5.064,7.9,40.006,currTest,RW0-0072,20200915004840
7,07:48:43 GMT,2.918,1,1,0,0,1,1,5.064,5.1,25.826,currTest,RW0-0072,20200915004840
8,07:48:44 GMT,3.337,1,1,0,0,1,1,5.064,6.7,33.929,currTest,RW0-0072,20200915004840
9,07:48:44 GMT,3.755,1,1,0,0,1,1,5.052,10.3,52.036,currTest,RW0-0072,20200915004840
10,07:48:45 GMT,4.174,1,1,0,0,1,1,5.06,8.5,43.01,currTest,RW0-0072,20200915004840
11,07:48:45 GMT,4.592,spiError,5.064,5.5,27.852,currTest,RW0-0072,20200915004840
12,07:48:45 GMT,5.011,1,1,0,0,1,1,5.06,7.9,39.974,currTest,RW0-0072,20200915004840
13,07:48:46 GMT,5.429,spiError,5.04,10.4,52.416,currTest,RW0-0072,20200915004840
14,07:48:46 GMT,5.848,1,1,0,0,1,1,5.064,7.3,36.967,currTest,RW0-0072,20200915004840
15,07:48:47 GMT,6.267,1,1,0,0,1,1,5.068,5.4,27.367,currTest,RW0-0072,20200915004840
16,07:48:47 GMT,6.685,1,1,0,0,1,1,5.056,10.0,50.56,currTest,RW0-0072,20200915004840
17,07:48:47 GMT,7.104,1,1,0,0,1,1,5.056,9.2,46.515,currTest,RW0-0072,20200915004840
18,07:48:48 GMT,7.522,1,1,0,0,1,1,5.064,7.3,36.967,currTest,RW0-0072,20200915004840
19,07:48:48 GMT,7.941,1,1,0,0,1,1,5.064,6.7,33.929,currTest,RW0-0072,20200915004840
20,07:48:49 GMT,8.359,1,1,0,0,1,1,5.06,9.1,46.046,currTest,RW0-0072,20200915004840
21,07:48:49 GMT,8.778,1,1,0,0,1,1,5.056,8.7,43.987,currTest,RW0-0072,20200915004840
22,07:48:50 GMT,9.197,1,1,0,0,1,1,5.064,4.7,23.801,currTest,RW0-0072,20200915004840
23,07:48:50 GMT,9.615,1,1,0,0,1,1,5.068,7.7,39.024,currTest,RW0-0072,20200915004840
24,07:48:50 GMT,10.034,1,1,0,0,1,1,5.06,8.6,43.516,currTest,RW0-0072,20200915004840
25,07:48:51 GMT,10.622,spiError,5.06,5.9,29.854,currTest,RW0-0072,20200915004840
26,07:48:51 GMT,11.041,1,1,0,0,4,1,5.064,8.8,44.563,currTest,RW0-0072,20200915004840
27,07:48:52 GMT,11.459,1,1,0,0,4,1,5.056,8.3,41.965,currTest,RW0-0072,20200915004840
28,07:48:52 GMT,11.878,1,1,0,0,1,1,5.06,6.0,30.36,currTest,RW0-0072,20200915004840
29,07:48:53 GMT,12.297,1,1,0,0,1,1,5.068,7.3,36.996,currTest,RW0-0072,20200915004840
30,07:48:53 GMT,12.715,1,1,0,0,1,1,5.06,8.8,44.528,currTest,RW0-0072,20200915004840
31,07:48:54 GMT,13.134,1,1,0,0,1,1,5.064,5.5,27.852,currTest,RW0-0072,20200915004840
