entry,timeGMT,timeELA_s,CRC,exec,currSpeed_01_RPM,refSpeed_01_RPM,state,clcMode,voltage_V,current_mA,power_mW,testName,rwID,startTime
1,06:34:44 GMT,0.408,1,1,44649,10000,4,1,5.048,14.7,74.206,debugAutoTest,RW0071,20200913233443
2,06:34:44 GMT,0.726,1,1,42475,10000,4,1,5.052,19.6,99.019,debugAutoTest,RW0071,20200913233443
3,06:34:44 GMT,1.045,1,1,39475,10000,4,1,5.056,19.3,97.581,debugAutoTest,RW0071,20200913233443
4,06:34:45 GMT,1.364,1,1,36604,10000,4,1,5.06,19.6,99.176,debugAutoTest,RW0071,20200913233443
5,06:34:45 GMT,1.683,1,1,33865,10000,4,1,5.056,20.2,102.131,debugAutoTest,RW0071,20200913233443
6,06:34:45 GMT,2.002,1,1,31401,10000,4,1,5.06,19.5,98.67,debugAutoTest,RW0071,20200913233443
7,06:34:46 GMT,2.321,1,1,29068,10000,4,1,5.056,18.6,94.042,debugAutoTest,RW0071,20200913233443
8,06:34:46 GMT,2.64,1,1,26867,10000,4,1,5.068,19.4,98.319,debugAutoTest,RW0071,20200913233443
9,06:34:46 GMT,2.959,1,1,24800,10000,4,1,5.072,20.3,102.962,debugAutoTest,RW0071,20200913233443
10,06:34:47 GMT,3.278,1,1,23016,10000,4,1,5.072,21.1,107.019,debugAutoTest,RW0071,20200913233443
11,06:34:47 GMT,3.598,1,1,21218,10000,4,1,5.06,23.2,117.392,debugAutoTest,RW0071,20200913233443
12,06:34:47 GMT,3.917,1,1,19557,10000,4,1,5.056,23.4,118.31,debugAutoTest,RW0071,20200913233443
13,06:34:48 GMT,4.238,1,1,18035,10000,4,1,5.064,21.5,108.876,debugAutoTest,RW0071,20200913233443
14,06:34:48 GMT,4.558,1,1,16652,10000,4,1,5.068,21.0,106.428,debugAutoTest,RW0071,20200913233443
15,06:34:48 GMT,4.877,1,1,15413,10000,4,1,5.06,17.3,87.538,debugAutoTest,RW0071,20200913233443
16,06:34:49 GMT,5.197,1,1,14162,10000,4,1,5.068,20.2,102.374,debugAutoTest,RW0071,20200913233443
17,06:34:49 GMT,5.619,1,1,12779,20000,4,1,5.028,223.2,1122.25,debugAutoTest,RW0071,20200913233443
18,06:34:49 GMT,5.94,1,1,13612,20000,4,1,4.944,517.1,2556.542,debugAutoTest,RW0071,20200913233443
19,06:34:50 GMT,6.26,1,1,17000,20000,4,1,5.024,206.8,1038.963,debugAutoTest,RW0071,20200913233443
20,06:34:50 GMT,6.58,1,1,19398,20000,4,1,5.056,59.7,301.843,debugAutoTest,RW0071,20200913233443
21,06:34:50 GMT,6.899,1,1,19988,20000,3,1,5.068,37.8,191.57,debugAutoTest,RW0071,20200913233443
22,06:34:51 GMT,7.219,1,1,20086,20000,3,1,5.056,34.6,174.938,debugAutoTest,RW0071,20200913233443
23,06:34:51 GMT,7.538,1,1,20169,20000,3,1,5.056,35.8,181.005,debugAutoTest,RW0071,20200913233443
24,06:34:51 GMT,7.858,1,1,20188,20000,3,1,5.056,34.9,176.454,debugAutoTest,RW0071,20200913233443
25,06:34:52 GMT,8.177,1,1,20189,20000,3,1,5.056,32.3,163.309,debugAutoTest,RW0071,20200913233443
26,06:34:52 GMT,8.496,1,1,20182,20000,3,1,5.052,33.4,168.737,debugAutoTest,RW0071,20200913233443
27,06:34:52 GMT,8.815,1,1,20176,20000,3,1,5.064,31.4,159.01,debugAutoTest,RW0071,20200913233443
28,06:34:53 GMT,9.135,1,1,20172,20000,3,1,5.064,35.6,180.278,debugAutoTest,RW0071,20200913233443
29,06:34:53 GMT,9.454,1,1,20169,20000,3,1,5.056,31.6,159.77,debugAutoTest,RW0071,20200913233443
30,06:34:53 GMT,9.773,1,1,20164,20000,3,1,5.048,33.0,166.584,debugAutoTest,RW0071,20200913233443
31,06:34:54 GMT,10.092,1,1,20162,20000,3,1,5.072,31.2,158.246,debugAutoTest,RW0071,20200913233443
32,06:34:54 GMT,10.412,1,1,20158,20000,3,1,5.056,35.2,177.971,debugAutoTest,RW0071,20200913233443
33,06:34:54 GMT,10.827,1,1,20422,30000,4,1,4.976,436.1,2170.034,debugAutoTest,RW0071,20200913233443
34,06:34:55 GMT,11.147,1,1,22937,30000,4,1,4.948,497.9,2463.609,debugAutoTest,RW0071,20200913233443
35,06:34:55 GMT,11.466,1,1,25943,30000,4,1,4.98,381.6,1900.368,debugAutoTest,RW0071,20200913233443
36,06:34:55 GMT,11.785,1,1,28576,30000,4,1,5.044,105.9,534.16,debugAutoTest,RW0071,20200913233443
37,06:34:56 GMT,12.104,1,1,29501,30000,4,1,5.048,53.1,268.049,debugAutoTest,RW0071,20200913233443
38,06:34:56 GMT,12.424,1,1,29769,30000,4,1,5.048,44.3,223.626,debugAutoTest,RW0071,20200913233443
39,06:34:56 GMT,12.744,1,1,29848,30000,3,1,5.068,44.6,226.033,debugAutoTest,RW0071,20200913233443
40,06:34:57 GMT,13.063,1,1,29873,30000,3,1,5.052,36.9,186.419,debugAutoTest,RW0071,20200913233443
41,06:34:57 GMT,13.383,1,1,29871,30000,3,1,5.06,46.6,235.796,debugAutoTest,RW0071,20200913233443
42,06:34:57 GMT,13.703,1,1,29867,30000,3,1,5.056,46.3,234.093,debugAutoTest,RW0071,20200913233443
43,06:34:57 GMT,14.022,1,1,29886,30000,3,1,5.044,44.5,224.458,debugAutoTest,RW0071,20200913233443
44,06:34:58 GMT,14.342,1,1,29882,30000,3,1,5.072,42.2,214.038,debugAutoTest,RW0071,20200913233443
45,06:34:58 GMT,14.661,1,1,29881,30000,3,1,5.052,42.6,215.215,debugAutoTest,RW0071,20200913233443
46,06:34:58 GMT,14.98,1,1,29896,30000,3,1,5.048,42.3,213.53,debugAutoTest,RW0071,20200913233443
47,06:34:59 GMT,15.299,1,1,29895,30000,3,1,5.056,40.6,205.274,debugAutoTest,RW0071,20200913233443
48,06:34:59 GMT,15.618,1,1,29892,30000,3,1,5.052,40.9,206.627,debugAutoTest,RW0071,20200913233443
49,06:34:59 GMT,16.036,1,1,30218,40000,4,1,4.98,424.6,2114.508,debugAutoTest,RW0071,20200913233443
50,06:35:00 GMT,16.355,1,1,32552,40000,4,1,4.976,418.6,2082.954,debugAutoTest,RW0071,20200913233443
51,06:35:00 GMT,16.674,1,1,34973,40000,4,1,4.988,398.2,1986.222,debugAutoTest,RW0071,20200913233443
52,06:35:00 GMT,16.994,1,1,37209,40000,4,1,5.016,239.9,1203.338,debugAutoTest,RW0071,20200913233443
