entry,timeGMT,timeELA_s,CRC,exec,currSpeed_01_RPM,refSpeed_01_RPM,state,clcMode,voltage_V,current_mA,power_mW,testName,rwID,startTime
1,11:14:10 GMT,0.406,1,1,0,0,1,1,5.04,12.3,61.992,fixedRpmNoiseTest,RW0-0110,20200915041410
2,11:14:11 GMT,0.724,1,1,0,0,1,1,5.072,6.5,32.968,fixedRpmNoiseTest,RW0-0110,20200915041410
3,11:14:11 GMT,1.043,1,1,0,0,1,1,5.064,7.7,38.993,fixedRpmNoiseTest,RW0-0110,20200915041410
4,11:14:11 GMT,1.362,1,1,0,0,1,1,5.056,9.2,46.515,fixedRpmNoiseTest,RW0-0110,20200915041410
5,11:14:12 GMT,1.68,1,1,0,0,1,1,5.064,5.7,28.865,fixedRpmNoiseTest,RW0-0110,20200915041410
6,11:14:12 GMT,1.999,1,1,0,0,1,1,5.06,9.1,46.046,fixedRpmNoiseTest,RW0-0110,20200915041410
7,11:14:12 GMT,2.318,1,1,0,0,1,1,5.064,8.1,41.018,fixedRpmNoiseTest,RW0-0110,20200915041410
8,11:14:13 GMT,2.636,1,1,0,0,1,1,5.064,6.6,33.422,fixedRpmNoiseTest,RW0-0110,20200915041410
9,11:14:13 GMT,2.955,1,1,0,0,1,1,5.056,9.6,48.538,fixedRpmNoiseTest,RW0-0110,20200915041410
10,11:14:13 GMT,3.273,1,1,0,0,1,1,5.064,5.2,26.333,fixedRpmNoiseTest,RW0-0110,20200915041410
11,11:14:14 GMT,3.592,1,1,0,0,1,1,5.06,9.1,46.046,fixedRpmNoiseTest,RW0-0110,20200915041410
12,11:14:14 GMT,3.911,1,1,0,0,1,1,5.064,9.0,45.576,fixedRpmNoiseTest,RW0-0110,20200915041410
13,11:14:14 GMT,4.23,1,1,0,0,1,1,5.056,6.6,33.37,fixedRpmNoiseTest,RW0-0110,20200915041410
14,11:14:15 GMT,4.548,1,1,0,0,1,1,5.056,6.3,31.853,fixedRpmNoiseTest,RW0-0110,20200915041410
15,11:14:15 GMT,4.867,1,1,0,0,1,1,5.056,10.2,51.571,fixedRpmNoiseTest,RW0-0110,20200915041410
16,11:14:15 GMT,5.186,1,1,0,0,1,1,5.068,4.9,24.833,fixedRpmNoiseTest,RW0-0110,20200915041410
17,11:14:16 GMT,5.504,1,1,0,0,1,1,5.06,8.9,45.034,fixedRpmNoiseTest,RW0-0110,20200915041410
18,11:14:16 GMT,5.823,1,1,0,0,1,1,5.056,7.6,38.426,fixedRpmNoiseTest,RW0-0110,20200915041410
19,11:14:16 GMT,6.141,1,1,0,0,1,1,5.06,6.4,32.384,fixedRpmNoiseTest,RW0-0110,20200915041410
20,11:14:17 GMT,6.46,1,1,0,0,1,1,5.064,9.2,46.589,fixedRpmNoiseTest,RW0-0110,20200915041410
21,11:14:17 GMT,6.78,1,1,0,0,1,1,5.064,7.8,39.499,fixedRpmNoiseTest,RW0-0110,20200915041410
22,11:14:17 GMT,7.099,1,1,0,0,1,1,5.056,8.2,41.459,fixedRpmNoiseTest,RW0-0110,20200915041410
23,11:14:17 GMT,7.417,1,1,0,0,1,1,5.068,6.3,31.928,fixedRpmNoiseTest,RW0-0110,20200915041410
24,11:14:18 GMT,7.736,1,1,0,0,1,1,5.06,7.1,35.926,fixedRpmNoiseTest,RW0-0110,20200915041410
25,11:14:18 GMT,8.054,1,1,0,0,1,1,5.064,7.2,36.461,fixedRpmNoiseTest,RW0-0110,20200915041410
26,11:14:18 GMT,8.373,1,1,0,0,1,1,5.056,8.0,40.448,fixedRpmNoiseTest,RW0-0110,20200915041410
27,11:14:19 GMT,8.691,1,1,0,0,1,1,5.06,7.9,39.974,fixedRpmNoiseTest,RW0-0110,20200915041410
28,11:14:19 GMT,9.01,1,1,0,0,1,1,5.068,5.3,26.86,fixedRpmNoiseTest,RW0-0110,20200915041410
29,11:14:19 GMT,9.329,1,1,0,0,1,1,5.06,8.7,44.022,fixedRpmNoiseTest,RW0-0110,20200915041410
30,11:14:20 GMT,9.647,1,1,0,0,1,1,5.052,9.5,47.994,fixedRpmNoiseTest,RW0-0110,20200915041410
31,11:14:20 GMT,9.966,1,1,0,0,1,1,5.06,5.5,27.83,fixedRpmNoiseTest,RW0-0110,20200915041410
32,11:14:20 GMT,10.285,1,1,0,0,1,1,5.06,9.2,46.552,fixedRpmNoiseTest,RW0-0110,20200915041410
33,11:14:21 GMT,10.603,1,1,0,0,1,1,5.068,4.6,23.313,fixedRpmNoiseTest,RW0-0110,20200915041410
34,11:14:21 GMT,10.922,1,1,0,0,1,1,5.06,7.2,36.432,fixedRpmNoiseTest,RW0-0110,20200915041410
35,11:14:21 GMT,11.241,1,1,0,0,1,1,5.052,9.6,48.499,fixedRpmNoiseTest,RW0-0110,20200915041410
36,11:14:22 GMT,11.559,1,1,0,0,1,1,5.072,5.7,28.91,fixedRpmNoiseTest,RW0-0110,20200915041410
37,11:14:22 GMT,11.878,1,1,0,0,1,1,5.064,8.5,43.044,fixedRpmNoiseTest,RW0-0110,20200915041410
38,11:14:22 GMT,12.197,1,1,0,0,1,1,5.064,7.0,35.448,fixedRpmNoiseTest,RW0-0110,20200915041410
39,11:14:23 GMT,12.515,1,1,0,0,1,1,5.056,6.0,30.336,fixedRpmNoiseTest,RW0-0110,20200915041410
40,11:14:23 GMT,12.834,1,1,0,0,1,1,5.06,9.1,46.046,fixedRpmNoiseTest,RW0-0110,20200915041410
41,11:14:23 GMT,13.152,1,1,0,0,1,1,5.068,4.8,24.326,fixedRpmNoiseTest,RW0-0110,20200915041410
