entry,timeGMT,timeELA_s,voltage_V,current_mA,power_mW,testName,rwID,startTime
1,20:37:40 GMT,0.002,5.024,-0.2,-1.005,ina219Test,RW0110,20200909133740
2,20:37:41 GMT,1.007,5.032,-0.6,-3.019,ina219Test,RW0110,20200909133740
3,20:37:42 GMT,2.013,5.04,-0.1,-0.504,ina219Test,RW0110,20200909133740
4,20:37:43 GMT,3.018,5.028,-0.1,-0.503,ina219Test,RW0110,20200909133740
5,20:37:44 GMT,4.024,5.028,-0.2,-1.006,ina219Test,RW0110,20200909133740
6,20:37:46 GMT,5.029,5.036,-0.2,-1.007,ina219Test,RW0110,20200909133740
7,20:37:47 GMT,6.035,5.036,0.0,0.0,ina219Test,RW0110,20200909133740
8,20:37:48 GMT,7.041,5.028,0.1,0.503,ina219Test,RW0110,20200909133740
9,20:37:49 GMT,8.046,5.032,-0.3,-1.51,ina219Test,RW0110,20200909133740
10,20:37:50 GMT,9.052,5.032,-0.2,-1.006,ina219Test,RW0110,20200909133740
11,20:37:51 GMT,10.058,5.032,-0.2,-1.006,ina219Test,RW0110,20200909133740
12,20:37:52 GMT,11.063,5.04,-0.1,-0.504,ina219Test,RW0110,20200909133740
13,20:37:53 GMT,12.069,5.028,0.1,0.503,ina219Test,RW0110,20200909133740
14,20:37:54 GMT,13.083,5.032,-0.2,-1.006,ina219Test,RW0110,20200909133740
15,20:37:55 GMT,14.089,5.036,-0.2,-1.007,ina219Test,RW0110,20200909133740
16,20:37:56 GMT,15.095,5.024,-0.3,-1.507,ina219Test,RW0110,20200909133740
17,20:37:57 GMT,16.1,5.032,-0.4,-2.013,ina219Test,RW0110,20200909133740
18,20:37:58 GMT,17.106,5.04,-0.1,-0.504,ina219Test,RW0110,20200909133740
19,20:37:59 GMT,18.111,5.032,-0.2,-1.006,ina219Test,RW0110,20200909133740
20,20:38:00 GMT,19.117,5.02,-0.2,-1.004,ina219Test,RW0110,20200909133740
21,20:38:01 GMT,20.123,5.036,-0.2,-1.007,ina219Test,RW0110,20200909133740
22,20:38:02 GMT,21.128,5.02,32.6,163.652,ina219Test,RW0110,20200909133740
23,20:38:03 GMT,22.134,5.012,30.2,151.362,ina219Test,RW0110,20200909133740
24,20:38:04 GMT,23.139,5.032,32.4,163.037,ina219Test,RW0110,20200909133740
25,20:38:05 GMT,24.145,5.036,32.3,162.663,ina219Test,RW0110,20200909133740
26,20:38:06 GMT,25.151,5.016,32.8,164.525,ina219Test,RW0110,20200909133740
27,20:38:07 GMT,26.156,5.024,32.8,164.787,ina219Test,RW0110,20200909133740
28,20:38:08 GMT,27.162,5.036,31.3,157.627,ina219Test,RW0110,20200909133740
29,20:38:09 GMT,28.168,5.02,32.4,162.648,ina219Test,RW0110,20200909133740
30,20:38:10 GMT,29.173,5.016,32.6,163.522,ina219Test,RW0110,20200909133740
