entry,timeGMT,timeELA_s,CRC,exec,currSpeed_01_RPM,refSpeed_01_RPM,state,clcMode,voltage_V,current_mA,power_mW,testName,rwID,startTime
1,10:27:19 GMT,0.406,1,1,0,0,4,0,5.06,7.7,38.962,manSpeedTest,RW0-0109,20200915032719
2,10:27:20 GMT,0.822,1,1,0,0,4,0,5.064,7.3,36.967,manSpeedTest,RW0-0109,20200915032719
3,10:27:20 GMT,1.24,1,1,0,0,1,0,5.056,8.3,41.965,manSpeedTest,RW0-0109,20200915032719
4,10:27:21 GMT,1.658,1,1,0,0,1,0,5.068,5.2,26.354,manSpeedTest,RW0-0109,20200915032719
5,10:27:21 GMT,2.077,1,1,0,0,1,0,5.064,6.9,34.942,manSpeedTest,RW0-0109,20200915032719
6,10:27:22 GMT,2.496,1,1,0,0,1,0,5.06,9.8,49.588,manSpeedTest,RW0-0109,20200915032719
7,10:27:22 GMT,2.914,1,1,0,0,1,0,5.06,7.0,35.42,manSpeedTest,RW0-0109,20200915032719
8,10:27:22 GMT,3.333,1,1,0,0,1,0,5.064,6.5,32.916,manSpeedTest,RW0-0109,20200915032719
9,10:27:23 GMT,3.752,1,1,0,0,1,0,5.064,8.3,42.031,manSpeedTest,RW0-0109,20200915032719
10,10:27:23 GMT,4.17,1,1,0,0,1,0,5.068,5.4,27.367,manSpeedTest,RW0-0109,20200915032719
11,10:27:24 GMT,4.589,1,1,0,0,1,0,5.06,10.8,54.648,manSpeedTest,RW0-0109,20200915032719
12,10:27:24 GMT,5.008,1,1,0,0,1,0,5.056,8.7,43.987,manSpeedTest,RW0-0109,20200915032719
13,10:27:24 GMT,5.426,1,1,0,0,1,0,5.068,4.8,24.326,manSpeedTest,RW0-0109,20200915032719
14,10:27:25 GMT,5.845,1,1,0,0,1,0,5.06,9.3,47.058,manSpeedTest,RW0-0109,20200915032719
15,10:27:25 GMT,6.264,1,1,0,0,1,0,5.06,8.9,45.034,manSpeedTest,RW0-0109,20200915032719
16,10:27:26 GMT,6.682,1,1,0,0,1,0,5.064,5.6,28.358,manSpeedTest,RW0-0109,20200915032719
17,10:27:26 GMT,7.101,1,1,0,0,1,0,5.064,7.6,38.486,manSpeedTest,RW0-0109,20200915032719
18,10:27:27 GMT,7.52,1,1,0,0,1,0,5.064,9.1,46.082,manSpeedTest,RW0-0109,20200915032719
19,10:27:27 GMT,7.938,1,1,0,0,1,0,5.064,7.4,37.474,manSpeedTest,RW0-0109,20200915032719
20,10:27:27 GMT,8.357,1,1,0,0,1,0,5.064,6.0,30.384,manSpeedTest,RW0-0109,20200915032719
21,10:27:28 GMT,8.775,1,1,0,0,1,0,5.06,9.8,49.588,manSpeedTest,RW0-0109,20200915032719
22,10:27:28 GMT,9.194,1,1,0,0,1,0,5.06,8.4,42.504,manSpeedTest,RW0-0109,20200915032719
23,10:27:29 GMT,9.613,1,1,0,0,1,0,5.072,5.4,27.389,manSpeedTest,RW0-0109,20200915032719
24,10:27:29 GMT,10.031,1,1,0,0,1,0,5.056,9.4,47.526,manSpeedTest,RW0-0109,20200915032719
25,10:27:30 GMT,10.45,1,1,0,0,1,0,5.056,7.0,35.392,manSpeedTest,RW0-0109,20200915032719
26,10:27:30 GMT,10.87,1,1,0,0,1,0,5.06,7.5,37.95,manSpeedTest,RW0-0109,20200915032719
27,10:27:30 GMT,11.289,1,1,0,0,1,0,5.068,5.5,27.874,manSpeedTest,RW0-0109,20200915032719
28,10:27:31 GMT,11.709,1,1,0,0,1,0,5.064,5.5,27.852,manSpeedTest,RW0-0109,20200915032719
29,10:27:31 GMT,12.127,1,1,0,0,1,0,5.06,9.2,46.552,manSpeedTest,RW0-0109,20200915032719
30,10:27:32 GMT,12.546,1,1,0,65000,4,0,5.036,131.0,659.716,manSpeedTest,RW0-0109,20200915032719
31,10:27:32 GMT,12.964,1,1,2332,65000,4,0,5.04,135.7,683.928,manSpeedTest,RW0-0109,20200915032719
32,10:27:32 GMT,13.383,1,1,4692,65000,4,0,5.02,144.9,727.398,manSpeedTest,RW0-0109,20200915032719
33,10:27:33 GMT,13.802,1,1,6573,65000,4,0,5.024,152.5,766.16,manSpeedTest,RW0-0109,20200915032719
34,10:27:33 GMT,14.221,1,1,8594,65000,4,0,5.028,156.1,784.871,manSpeedTest,RW0-0109,20200915032719
35,10:27:34 GMT,14.639,1,1,10785,65000,4,0,5.024,161.6,811.878,manSpeedTest,RW0-0109,20200915032719
36,10:27:34 GMT,15.058,1,1,13053,65000,4,0,5.028,163.6,822.581,manSpeedTest,RW0-0109,20200915032719
37,10:27:35 GMT,15.477,1,1,15160,65000,4,0,5.028,177.8,893.978,manSpeedTest,RW0-0109,20200915032719
38,10:27:35 GMT,15.895,1,1,17067,65000,4,0,5.028,176.9,889.453,manSpeedTest,RW0-0109,20200915032719
39,10:27:35 GMT,16.314,1,1,19005,65000,4,0,5.036,157.7,794.177,manSpeedTest,RW0-0109,20200915032719
40,10:27:36 GMT,16.733,1,1,20807,65000,4,0,5.02,164.4,825.288,manSpeedTest,RW0-0109,20200915032719
41,10:27:36 GMT,17.151,1,1,22566,65000,4,0,5.012,183.5,919.702,manSpeedTest,RW0-0109,20200915032719
