entry,timeGMT,timeELA_s,CRC,exec,currSpeed_01_RPM,refSpeed_01_RPM,state,clcMode,voltage_V,current_mA,power_mW,testName,rwID,startTime
1,23:45:30 GMT,0.206,1,1,0,0,4,1,4.996,7.1,35.472,minRampTimeTest,RW0-0072,20200915164529
2,23:45:30 GMT,0.422,1,1,0,0,4,1,5.028,11.3,56.816,minRampTimeTest,RW0-0072,20200915164529
3,23:45:30 GMT,0.637,1,1,0,0,4,1,5.032,5.8,29.186,minRampTimeTest,RW0-0072,20200915164529
4,23:45:30 GMT,0.852,1,1,0,0,1,1,5.008,8.2,41.066,minRampTimeTest,RW0-0072,20200915164529
5,23:45:30 GMT,1.07,1,1,0,0,1,1,5.016,7.7,38.623,minRampTimeTest,RW0-0072,20200915164529
6,23:45:31 GMT,1.288,1,1,0,0,1,1,5.02,9.8,49.196,minRampTimeTest,RW0-0072,20200915164529
7,23:45:31 GMT,1.507,1,1,0,0,1,1,5.028,4.5,22.626,minRampTimeTest,RW0-0072,20200915164529
8,23:45:31 GMT,1.725,1,1,0,0,1,1,5.02,9.6,48.192,minRampTimeTest,RW0-0072,20200915164529
9,23:45:31 GMT,1.944,1,1,0,0,1,1,5.02,7.4,37.148,minRampTimeTest,RW0-0072,20200915164529
10,23:45:31 GMT,2.162,1,1,0,0,1,1,5.016,4.6,23.074,minRampTimeTest,RW0-0072,20200915164529
11,23:45:32 GMT,2.38,1,1,0,0,1,1,5.02,9.5,47.69,minRampTimeTest,RW0-0072,20200915164529
12,23:45:32 GMT,2.599,1,1,0,0,1,1,5.024,6.1,30.646,minRampTimeTest,RW0-0072,20200915164529
13,23:45:32 GMT,2.817,1,1,0,0,1,1,5.02,8.2,41.164,minRampTimeTest,RW0-0072,20200915164529
14,23:45:32 GMT,3.036,1,1,0,0,1,1,5.016,9.4,47.15,minRampTimeTest,RW0-0072,20200915164529
15,23:45:33 GMT,3.254,1,1,0,0,1,1,5.02,5.7,28.614,minRampTimeTest,RW0-0072,20200915164529
