entry,timeGMT,timeELA_s,CRC,exec,currSpeed_01_RPM,refSpeed_01_RPM,state,clcMode,voltage_V,current_mA,power_mW,testName,rwID,startTime
1,23:44:16 GMT,0.207,1,1,0,0,4,1,5.016,5.7,28.591,rampSpeedTest,RW0-0072,20200915164416
2,23:44:16 GMT,0.372,1,1,0,0,4,1,5.032,6.3,31.702,rampSpeedTest,RW0-0072,20200915164416
3,23:44:16 GMT,0.539,1,1,0,0,4,1,5.024,5.4,27.13,rampSpeedTest,RW0-0072,20200915164416
4,23:44:17 GMT,0.708,1,1,0,0,4,1,5.02,7.7,38.654,rampSpeedTest,RW0-0072,20200915164416
5,23:44:17 GMT,0.876,1,1,0,0,4,1,5.016,9.0,45.144,rampSpeedTest,RW0-0072,20200915164416
6,23:44:17 GMT,1.044,1,1,0,0,4,1,5.024,6.0,30.144,rampSpeedTest,RW0-0072,20200915164416
7,23:44:17 GMT,1.212,1,1,0,0,1,1,5.012,9.0,45.108,rampSpeedTest,RW0-0072,20200915164416
8,23:44:17 GMT,1.381,1,1,0,0,1,1,5.024,7.0,35.168,rampSpeedTest,RW0-0072,20200915164416
9,23:44:17 GMT,1.549,1,1,0,0,1,1,5.024,6.1,30.646,rampSpeedTest,RW0-0072,20200915164416
10,23:44:18 GMT,1.717,1,1,0,0,1,1,5.016,10.2,51.163,rampSpeedTest,RW0-0072,20200915164416
11,23:44:18 GMT,1.886,1,1,0,0,1,1,5.016,7.5,37.62,rampSpeedTest,RW0-0072,20200915164416
12,23:44:18 GMT,2.054,1,1,0,0,1,1,5.016,6.6,33.106,rampSpeedTest,RW0-0072,20200915164416
13,23:44:18 GMT,2.222,1,1,0,0,1,1,5.016,8.1,40.63,rampSpeedTest,RW0-0072,20200915164416
14,23:44:18 GMT,2.391,1,1,0,0,1,1,5.016,9.6,48.154,rampSpeedTest,RW0-0072,20200915164416
15,23:44:18 GMT,2.559,1,1,0,0,1,1,5.028,4.9,24.637,rampSpeedTest,RW0-0072,20200915164416
16,23:44:19 GMT,2.727,1,1,0,0,1,1,5.016,9.5,47.652,rampSpeedTest,RW0-0072,20200915164416
17,23:44:19 GMT,2.895,1,1,0,0,1,1,5.012,10.3,51.624,rampSpeedTest,RW0-0072,20200915164416
18,23:44:19 GMT,3.064,1,1,0,0,1,1,5.024,5.2,26.125,rampSpeedTest,RW0-0072,20200915164416
19,23:44:19 GMT,3.232,1,1,0,0,1,1,5.016,7.9,39.626,rampSpeedTest,RW0-0072,20200915164416
20,23:44:19 GMT,3.4,1,1,0,0,1,1,5.016,9.7,48.655,rampSpeedTest,RW0-0072,20200915164416
21,23:44:19 GMT,3.569,1,1,0,0,1,1,5.024,5.9,29.642,rampSpeedTest,RW0-0072,20200915164416
22,23:44:20 GMT,3.737,1,1,0,0,1,1,5.012,6.2,31.074,rampSpeedTest,RW0-0072,20200915164416
23,23:44:20 GMT,3.905,1,1,0,0,1,1,5.016,9.4,47.15,rampSpeedTest,RW0-0072,20200915164416
24,23:44:20 GMT,4.073,1,1,0,0,1,1,5.028,6.2,31.174,rampSpeedTest,RW0-0072,20200915164416
25,23:44:20 GMT,4.242,1,1,0,0,1,1,5.02,6.6,33.132,rampSpeedTest,RW0-0072,20200915164416
26,23:44:20 GMT,4.41,1,1,0,0,1,1,5.012,9.4,47.113,rampSpeedTest,RW0-0072,20200915164416
27,23:44:20 GMT,4.578,1,1,0,0,1,1,5.016,6.7,33.607,rampSpeedTest,RW0-0072,20200915164416
28,23:44:21 GMT,4.747,1,1,0,0,1,1,5.016,6.8,34.109,rampSpeedTest,RW0-0072,20200915164416
29,23:44:21 GMT,4.915,1,1,0,0,1,1,5.016,8.7,43.639,rampSpeedTest,RW0-0072,20200915164416
30,23:44:21 GMT,5.083,1,1,0,0,1,1,5.02,8.0,40.16,rampSpeedTest,RW0-0072,20200915164416
31,23:44:21 GMT,5.251,1,1,0,0,1,1,5.024,5.3,26.627,rampSpeedTest,RW0-0072,20200915164416
32,23:44:21 GMT,5.42,1,1,0,0,1,1,5.012,8.2,41.098,rampSpeedTest,RW0-0072,20200915164416
33,23:44:21 GMT,5.588,1,1,0,0,1,1,5.02,9.0,45.18,rampSpeedTest,RW0-0072,20200915164416
34,23:44:22 GMT,5.756,1,1,0,0,1,1,5.024,5.5,27.632,rampSpeedTest,RW0-0072,20200915164416
35,23:44:22 GMT,5.925,1,1,0,0,1,1,5.016,7.7,38.623,rampSpeedTest,RW0-0072,20200915164416
36,23:44:22 GMT,6.093,1,1,0,0,1,1,5.02,8.1,40.662,rampSpeedTest,RW0-0072,20200915164416
37,23:44:22 GMT,6.261,1,1,0,0,1,1,5.024,5.9,29.642,rampSpeedTest,RW0-0072,20200915164416
38,23:44:22 GMT,6.429,1,1,0,0,1,1,5.016,8.0,40.128,rampSpeedTest,RW0-0072,20200915164416
39,23:44:22 GMT,6.598,1,1,0,0,1,1,5.02,9.6,48.192,rampSpeedTest,RW0-0072,20200915164416
40,23:44:23 GMT,6.766,1,1,0,0,1,1,5.028,4.7,23.632,rampSpeedTest,RW0-0072,20200915164416
41,23:44:23 GMT,6.934,1,1,0,0,1,1,5.016,10.5,52.668,rampSpeedTest,RW0-0072,20200915164416
42,23:44:23 GMT,7.103,1,1,0,0,1,1,5.008,9.4,47.075,rampSpeedTest,RW0-0072,20200915164416
43,23:44:23 GMT,7.271,1,1,0,0,1,1,5.028,5.3,26.648,rampSpeedTest,RW0-0072,20200915164416
44,23:44:23 GMT,7.439,1,1,0,0,1,1,5.024,6.2,31.149,rampSpeedTest,RW0-0072,20200915164416
45,23:44:23 GMT,7.608,1,1,0,0,1,1,5.016,8.2,41.131,rampSpeedTest,RW0-0072,20200915164416
46,23:44:24 GMT,7.776,1,1,0,0,1,1,5.016,9.1,45.646,rampSpeedTest,RW0-0072,20200915164416
47,23:44:24 GMT,7.945,1,1,0,0,1,1,5.012,10.4,52.125,rampSpeedTest,RW0-0072,20200915164416
48,23:44:24 GMT,8.113,1,1,0,0,1,1,5.028,5.4,27.151,rampSpeedTest,RW0-0072,20200915164416
49,23:44:24 GMT,8.281,1,1,0,0,1,1,5.024,6.1,30.646,rampSpeedTest,RW0-0072,20200915164416
50,23:44:24 GMT,8.45,1,1,0,0,1,1,5.016,8.9,44.642,rampSpeedTest,RW0-0072,20200915164416
51,23:44:24 GMT,8.618,1,1,0,0,1,1,5.016,7.5,37.62,rampSpeedTest,RW0-0072,20200915164416
52,23:44:25 GMT,8.786,1,1,0,0,1,1,5.02,5.7,28.614,rampSpeedTest,RW0-0072,20200915164416
53,23:44:25 GMT,8.955,1,1,0,0,1,1,5.016,8.5,42.636,rampSpeedTest,RW0-0072,20200915164416
54,23:44:25 GMT,9.123,1,1,0,0,1,1,5.02,7.7,38.654,rampSpeedTest,RW0-0072,20200915164416
55,23:44:25 GMT,9.291,1,1,0,0,1,1,5.032,5.7,28.682,rampSpeedTest,RW0-0072,20200915164416
56,23:44:25 GMT,9.459,1,1,0,0,1,1,5.02,8.7,43.674,rampSpeedTest,RW0-0072,20200915164416
57,23:44:25 GMT,9.628,1,1,0,0,1,1,5.016,8.0,40.128,rampSpeedTest,RW0-0072,20200915164416
58,23:44:26 GMT,9.796,1,1,0,0,1,1,5.02,5.6,28.112,rampSpeedTest,RW0-0072,20200915164416
59,23:44:26 GMT,9.973,1,1,0,0,1,1,5.024,7.4,37.178,rampSpeedTest,RW0-0072,20200915164416
60,23:44:26 GMT,10.142,1,1,0,0,1,1,5.016,10.3,51.665,rampSpeedTest,RW0-0072,20200915164416
61,23:44:26 GMT,10.349,1,1,0,10000,4,1,4.996,118.8,593.525,rampSpeedTest,RW0-0072,20200915164416
62,23:44:26 GMT,10.555,1,1,430,10500,4,1,4.96,276.1,1369.456,rampSpeedTest,RW0-0072,20200915164416
63,23:44:27 GMT,10.762,1,1,2214,11000,4,1,4.948,284.6,1408.201,rampSpeedTest,RW0-0072,20200915164416
64,23:44:27 GMT,10.968,1,1,4107,11500,4,1,4.944,332.9,1645.858,rampSpeedTest,RW0-0072,20200915164416
65,23:44:27 GMT,11.174,1,1,5823,12000,4,1,4.94,402.8,1989.832,rampSpeedTest,RW0-0072,20200915164416
66,23:44:27 GMT,11.381,1,1,6922,12500,4,1,4.924,477.7,2352.195,rampSpeedTest,RW0-0072,20200915164416
67,23:44:27 GMT,11.587,1,1,9272,13000,4,1,4.956,303.1,1502.164,rampSpeedTest,RW0-0072,20200915164416
68,23:44:28 GMT,11.794,1,1,11383,13500,4,1,4.98,116.1,578.178,rampSpeedTest,RW0-0072,20200915164416
69,23:44:28 GMT,12.0,1,1,12424,14000,4,1,5.004,77.8,389.311,rampSpeedTest,RW0-0072,20200915164416
70,23:44:28 GMT,12.207,1,1,13175,14500,4,1,5.0,73.2,366.0,rampSpeedTest,RW0-0072,20200915164416
71,23:44:28 GMT,12.413,1,1,13767,15000,4,1,4.996,63.6,317.746,rampSpeedTest,RW0-0072,20200915164416
72,23:44:28 GMT,12.619,1,1,14205,15500,4,1,5.008,66.4,332.531,rampSpeedTest,RW0-0072,20200915164416
73,23:44:29 GMT,12.826,1,1,14706,16000,4,1,4.992,68.6,342.451,rampSpeedTest,RW0-0072,20200915164416
74,23:44:29 GMT,13.032,1,1,15267,16500,4,1,5.004,61.8,309.247,rampSpeedTest,RW0-0072,20200915164416
75,23:44:29 GMT,13.238,1,1,15734,17000,4,1,5.004,68.7,343.775,rampSpeedTest,RW0-0072,20200915164416
76,23:44:29 GMT,13.445,1,1,16274,17500,4,1,4.992,70.4,351.437,rampSpeedTest,RW0-0072,20200915164416
77,23:44:29 GMT,13.651,1,1,16700,18000,4,1,5.004,69.9,349.78,rampSpeedTest,RW0-0072,20200915164416
78,23:44:30 GMT,13.858,1,1,17211,18500,4,1,4.996,73.3,366.207,rampSpeedTest,RW0-0072,20200915164416
79,23:44:30 GMT,14.064,1,1,17701,19000,4,1,5.004,66.1,330.764,rampSpeedTest,RW0-0072,20200915164416
80,23:44:30 GMT,14.271,1,1,18176,19500,4,1,4.992,79.6,397.363,rampSpeedTest,RW0-0072,20200915164416
81,23:44:30 GMT,14.477,1,1,18719,20000,4,1,4.996,72.3,361.211,rampSpeedTest,RW0-0072,20200915164416
82,23:44:31 GMT,14.683,1,1,19171,20500,4,1,5.008,75.5,378.104,rampSpeedTest,RW0-0072,20200915164416
83,23:44:31 GMT,14.89,1,1,19685,21000,4,1,5.0,76.2,381.0,rampSpeedTest,RW0-0072,20200915164416
84,23:44:31 GMT,15.096,1,1,20187,21500,4,1,4.996,80.5,402.178,rampSpeedTest,RW0-0072,20200915164416
85,23:44:31 GMT,15.303,1,1,20680,22000,4,1,4.992,82.8,413.338,rampSpeedTest,RW0-0072,20200915164416
86,23:44:31 GMT,15.509,1,1,21157,22500,4,1,4.996,75.7,378.197,rampSpeedTest,RW0-0072,20200915164416
87,23:44:32 GMT,15.715,1,1,21696,23000,4,1,5.008,78.6,393.629,rampSpeedTest,RW0-0072,20200915164416
88,23:44:32 GMT,15.922,1,1,22149,23500,4,1,4.992,81.9,408.845,rampSpeedTest,RW0-0072,20200915164416
89,23:44:32 GMT,16.128,1,1,22663,24000,4,1,4.988,84.1,419.491,rampSpeedTest,RW0-0072,20200915164416
90,23:44:32 GMT,16.335,1,1,23170,24500,4,1,5.004,83.4,417.334,rampSpeedTest,RW0-0072,20200915164416
91,23:44:32 GMT,16.541,1,1,23660,25000,4,1,4.992,88.0,439.296,rampSpeedTest,RW0-0072,20200915164416
92,23:44:33 GMT,16.747,1,1,24141,25500,4,1,5.0,82.0,410.0,rampSpeedTest,RW0-0072,20200915164416
93,23:44:33 GMT,16.954,1,1,24691,26000,4,1,4.988,90.1,449.419,rampSpeedTest,RW0-0072,20200915164416
94,23:44:33 GMT,17.16,1,1,25131,26500,4,1,4.988,88.8,442.934,rampSpeedTest,RW0-0072,20200915164416
95,23:44:33 GMT,17.367,1,1,25641,27000,4,1,5.008,83.9,420.171,rampSpeedTest,RW0-0072,20200915164416
96,23:44:33 GMT,17.573,1,1,26160,27500,4,1,4.992,85.7,427.814,rampSpeedTest,RW0-0072,20200915164416
97,23:44:34 GMT,17.779,1,1,26652,28000,4,1,4.992,88.6,442.291,rampSpeedTest,RW0-0072,20200915164416
98,23:44:34 GMT,17.986,1,1,27115,28500,4,1,5.0,91.7,458.5,rampSpeedTest,RW0-0072,20200915164416
99,23:44:34 GMT,18.192,1,1,27659,29000,4,1,4.992,94.5,471.744,rampSpeedTest,RW0-0072,20200915164416
100,23:44:34 GMT,18.399,1,1,28108,29500,4,1,5.0,95.7,478.5,rampSpeedTest,RW0-0072,20200915164416
101,23:44:34 GMT,18.605,1,1,28624,30000,4,1,4.984,90.4,450.554,rampSpeedTest,RW0-0072,20200915164416
102,23:44:35 GMT,18.811,1,1,29120,30500,4,1,4.988,91.2,454.906,rampSpeedTest,RW0-0072,20200915164416
