entry,timeGMT,timeELA (s),CRC,exec,currSpeed (0.1 RPM),refSpeed (0.1 RPM),state,clcMode,voltage (V),current (mA),power (mW)
1,22:32:11 GMT,0.353,1,1,9500,10000,4,1,3.264,4.8,15.667
2,22:32:11 GMT,0.698,1,1,9975,10500,4,1,3.264,4.8,15.667
3,22:32:12 GMT,1.04,1,1,10450,11000,4,1,3.268,4.6,15.033
4,22:32:12 GMT,1.381,1,1,10925,11500,4,1,3.268,4.8,15.686
5,22:32:12 GMT,1.722,1,1,11400,12000,4,1,3.268,4.7,15.36
6,22:32:13 GMT,2.064,1,1,11875,12500,4,1,3.268,4.6,15.033
7,22:32:13 GMT,2.415,1,1,12350,13000,4,1,3.268,4.6,15.033
8,22:32:13 GMT,2.767,1,1,12825,13500,4,1,3.264,4.4,14.362
9,22:32:14 GMT,3.114,1,1,13300,14000,4,1,3.268,4.9,16.013
10,22:32:14 GMT,3.459,1,1,13775,14500,4,1,3.268,4.9,16.013
11,22:32:14 GMT,3.806,1,1,14250,15000,4,1,3.268,4.6,15.033
12,22:32:15 GMT,4.148,1,1,14725,15500,4,1,3.264,4.7,15.341
13,22:32:15 GMT,4.494,1,1,15200,16000,4,1,3.268,4.7,15.36
14,22:32:15 GMT,4.841,1,1,15675,16500,4,1,3.268,4.6,15.033
15,22:32:16 GMT,5.183,1,1,16150,17000,4,1,3.268,4.6,15.033
16,22:32:16 GMT,5.528,1,1,16625,17500,4,1,3.268,4.8,15.686
17,22:32:17 GMT,5.881,1,1,17100,18000,4,1,3.268,4.5,14.706
18,22:32:17 GMT,6.227,1,1,17575,18500,4,1,3.264,4.7,15.341
19,22:32:17 GMT,6.573,1,1,18050,19000,4,1,3.264,4.8,15.667
20,22:32:18 GMT,6.92,1,1,18525,19500,4,1,3.264,4.3,14.035
21,22:32:18 GMT,7.265,1,1,19000,20000,4,1,3.264,4.5,14.688
22,22:32:18 GMT,7.605,1,1,19475,20500,4,1,3.268,4.8,15.686
23,22:32:19 GMT,7.952,1,1,19950,21000,4,1,3.268,4.7,15.36
24,22:32:19 GMT,8.298,1,1,20425,21500,4,1,3.264,4.6,15.014
25,22:32:19 GMT,8.645,1,1,20900,22000,4,1,3.264,4.8,15.667
26,22:32:20 GMT,8.987,1,1,21375,22500,4,1,3.264,4.8,15.667
27,22:32:20 GMT,9.332,1,1,21850,23000,4,1,3.268,4.6,15.033
28,22:32:20 GMT,9.68,1,1,22325,23500,4,1,3.268,5.0,16.34
29,22:32:21 GMT,10.027,1,1,22800,24000,4,1,3.264,4.7,15.341
30,22:32:21 GMT,10.372,1,1,23275,24500,4,1,3.272,4.6,15.051
31,22:32:21 GMT,10.724,1,1,23750,25000,4,1,3.264,4.7,15.341
32,22:32:22 GMT,11.071,1,1,24225,25500,4,1,3.264,4.4,14.362
33,22:32:22 GMT,11.411,1,1,24700,26000,4,1,3.264,4.7,15.341
34,22:32:22 GMT,11.758,1,1,25175,26500,4,1,3.264,4.6,15.014
35,22:32:23 GMT,12.105,1,1,25650,27000,4,1,3.264,4.9,15.994
36,22:32:23 GMT,12.45,1,1,26125,27500,4,1,3.268,4.6,15.033
37,22:32:23 GMT,12.797,1,1,26600,28000,4,1,3.264,4.8,15.667
38,22:32:24 GMT,13.139,1,1,27075,28500,4,1,3.268,4.6,15.033
39,22:32:24 GMT,13.484,1,1,27550,29000,4,1,3.268,4.8,15.686
40,22:32:24 GMT,13.831,1,1,28025,29500,4,1,3.264,4.9,15.994
41,22:32:25 GMT,14.178,1,1,28500,30000,4,1,3.268,4.7,15.36
42,22:32:25 GMT,14.523,1,1,28975,30500,4,1,3.268,4.9,16.013
43,22:32:26 GMT,14.87,1,1,29450,31000,4,1,3.264,4.8,15.667
44,22:32:26 GMT,15.217,1,1,29925,31500,4,1,3.268,4.8,15.686
45,22:32:26 GMT,15.562,1,1,30400,32000,4,1,3.264,4.7,15.341
46,22:32:27 GMT,15.91,1,1,30875,32500,4,1,3.264,4.9,15.994
47,22:32:27 GMT,16.256,1,1,31350,33000,4,1,3.264,4.8,15.667
48,22:32:27 GMT,16.602,1,1,31825,33500,4,1,3.268,4.8,15.686
49,22:32:28 GMT,16.949,1,1,32300,34000,4,1,3.264,4.8,15.667
50,22:32:28 GMT,17.299,1,1,32775,34500,4,1,3.268,4.6,15.033
51,22:32:28 GMT,17.639,1,1,33250,35000,4,1,3.264,4.8,15.667
52,22:32:29 GMT,17.986,1,1,33725,35500,4,1,3.268,4.9,16.013
53,22:32:29 GMT,18.331,1,1,34200,36000,4,1,3.268,4.7,15.36
54,22:32:29 GMT,18.679,1,1,34675,36500,4,1,3.268,4.9,16.013
55,22:32:30 GMT,19.018,1,1,35150,37000,4,1,3.268,4.7,15.36
56,22:32:30 GMT,19.358,1,1,35625,37500,4,1,3.268,4.7,15.36
57,22:32:30 GMT,19.711,1,1,36100,38000,4,1,3.268,4.8,15.686
58,22:32:31 GMT,20.056,1,1,36575,38500,4,1,3.268,4.9,16.013
59,22:32:31 GMT,20.403,1,1,37050,39000,4,1,3.268,4.9,16.013
