entry,timeGMT,timeELA (s),CRC,exec,currSpeed (0.1 RPM),refSpeed (0.1 RPM),state,clcMode,voltage (V),current (mA),power (mW)
1,23:45:26 GMT,0.323,1,1,9500,10000,4,1,3.244,4.6,14.922
2,23:45:26 GMT,0.629,1,1,9500,10000,4,1,3.244,4.4,14.274
3,23:45:27 GMT,0.934,1,1,9500,10000,4,1,3.24,4.6,14.904
4,23:45:27 GMT,1.267,1,1,9500,10000,4,1,3.244,4.6,14.922
5,23:45:27 GMT,1.573,1,1,14250,15000,4,1,3.244,4.9,15.896
6,23:45:28 GMT,1.879,1,1,14250,15000,4,1,3.244,4.8,15.571
7,23:45:28 GMT,2.188,1,1,14250,15000,4,1,3.244,4.6,14.922
8,23:45:28 GMT,2.521,1,1,14250,15000,4,1,3.244,4.5,14.598
9,23:45:28 GMT,2.827,1,1,19000,20000,4,1,3.244,4.7,15.247
10,23:45:29 GMT,3.133,1,1,19000,20000,4,1,3.244,4.6,14.922
11,23:45:29 GMT,3.442,1,1,19000,20000,4,1,3.244,4.6,14.922
12,23:45:29 GMT,3.775,1,1,19000,20000,4,1,3.244,4.7,15.247
13,23:45:30 GMT,4.081,1,1,23750,25000,4,1,3.244,4.7,15.247
14,23:45:30 GMT,4.386,1,1,23750,25000,4,1,3.244,4.7,15.247
15,23:45:30 GMT,4.696,1,1,23750,25000,4,1,3.248,5.0,16.24
16,23:45:31 GMT,5.029,1,1,23750,25000,4,1,3.244,4.8,15.571
17,23:45:31 GMT,5.338,1,1,28500,30000,4,1,3.244,4.4,14.274
18,23:45:31 GMT,5.644,1,1,28500,30000,4,1,3.244,4.6,14.922
19,23:45:32 GMT,5.952,1,1,28500,30000,4,1,3.244,4.6,14.922
20,23:45:32 GMT,6.291,1,1,28500,30000,4,1,3.244,4.6,14.922
21,23:45:32 GMT,6.597,1,1,33250,35000,4,1,3.244,4.6,14.922
22,23:45:33 GMT,6.902,1,1,33250,35000,4,1,3.244,4.7,15.247
23,23:45:33 GMT,7.211,1,1,33250,35000,4,1,3.244,4.7,15.247
24,23:45:33 GMT,7.555,1,1,33250,35000,4,1,3.244,4.9,15.896
25,23:45:34 GMT,7.86,1,1,38000,40000,4,1,3.244,4.7,15.247
26,23:45:34 GMT,8.166,1,1,38000,40000,4,1,3.244,4.7,15.247
27,23:45:34 GMT,8.475,1,1,38000,40000,4,1,3.244,4.6,14.922
28,23:45:34 GMT,8.808,1,1,38000,40000,4,1,3.244,4.6,14.922
29,23:45:35 GMT,9.114,1,1,42750,45000,4,1,3.244,4.7,15.247
30,23:45:35 GMT,9.42,1,1,42750,45000,4,1,3.244,4.7,15.247
31,23:45:35 GMT,9.729,1,1,42750,45000,4,1,3.244,4.8,15.571
32,23:45:36 GMT,10.068,1,1,42750,45000,4,1,3.248,4.5,14.616
33,23:45:36 GMT,10.381,1,1,47500,50000,4,1,3.244,4.4,14.274
34,23:45:36 GMT,10.687,1,1,47500,50000,4,1,3.244,4.6,14.922
35,23:45:37 GMT,10.995,1,1,47500,50000,4,1,3.244,4.8,15.571
36,23:45:37 GMT,11.329,1,1,47500,50000,4,1,3.244,4.8,15.571
37,23:45:37 GMT,11.634,1,1,52250,55000,4,1,3.244,4.6,14.922
38,23:45:38 GMT,11.94,1,1,52250,55000,4,1,3.244,4.7,15.247
39,23:45:38 GMT,12.25,1,1,52250,55000,4,1,3.244,4.7,15.247
40,23:45:38 GMT,12.588,1,1,52250,55000,4,1,3.244,4.8,15.571
41,23:45:39 GMT,12.894,1,1,57000,60000,4,1,3.244,4.8,15.571
42,23:45:39 GMT,13.2,1,1,57000,60000,4,1,3.244,4.8,15.571
43,23:45:39 GMT,13.509,1,1,57000,60000,4,1,3.244,4.5,14.598
44,23:45:39 GMT,13.847,1,1,57000,60000,4,1,3.244,4.7,15.247
45,23:45:40 GMT,14.153,1,1,61750,65000,4,1,3.244,4.8,15.571
46,23:45:40 GMT,14.459,1,1,61750,65000,4,1,3.248,4.9,15.915
47,23:45:40 GMT,14.768,1,1,61750,65000,4,1,3.24,4.7,15.228
48,23:45:41 GMT,15.102,1,1,61750,65000,4,1,3.248,4.6,14.941
49,23:45:41 GMT,15.415,1,1,61750,65000,4,1,3.244,4.5,14.598
50,23:45:41 GMT,15.72,1,1,61750,65000,4,1,3.248,4.6,14.941
51,23:45:42 GMT,16.03,1,1,61750,65000,4,1,3.244,4.7,15.247
52,23:45:42 GMT,16.368,1,1,61750,65000,4,1,3.244,4.9,15.896
53,23:45:42 GMT,16.674,1,1,57000,60000,4,1,3.248,4.8,15.59
54,23:45:43 GMT,16.98,1,1,57000,60000,4,1,3.248,4.7,15.266
55,23:45:43 GMT,17.289,1,1,57000,60000,4,1,3.244,4.9,15.896
56,23:45:43 GMT,17.623,1,1,57000,60000,4,1,3.244,4.7,15.247
57,23:45:44 GMT,17.928,1,1,52250,55000,4,1,3.244,4.7,15.247
58,23:45:44 GMT,18.234,1,1,52250,55000,4,1,3.244,4.6,14.922
59,23:45:44 GMT,18.544,1,1,52250,55000,4,1,3.24,4.6,14.904
60,23:45:45 GMT,18.883,1,1,52250,55000,4,1,3.244,4.9,15.896
61,23:45:45 GMT,19.188,1,1,47500,50000,4,1,3.244,4.8,15.571
62,23:45:45 GMT,19.494,1,1,47500,50000,4,1,3.244,4.4,14.274
63,23:45:45 GMT,19.803,1,1,47500,50000,4,1,3.248,4.7,15.266
64,23:45:46 GMT,20.137,1,1,47500,50000,4,1,3.244,4.9,15.896
65,23:45:46 GMT,20.45,1,1,42750,45000,4,1,3.244,4.7,15.247
66,23:45:46 GMT,20.755,1,1,42750,45000,4,1,3.244,4.8,15.571
67,23:45:47 GMT,21.065,1,1,42750,45000,4,1,3.244,4.8,15.571
68,23:45:47 GMT,21.403,1,1,42750,45000,4,1,3.244,4.7,15.247
69,23:45:47 GMT,21.709,1,1,38000,40000,4,1,3.244,4.7,15.247
70,23:45:48 GMT,22.014,1,1,38000,40000,4,1,3.244,4.9,15.896
71,23:45:48 GMT,22.324,1,1,38000,40000,4,1,3.244,4.6,14.922
72,23:45:48 GMT,22.657,1,1,38000,40000,4,1,3.244,4.8,15.571
73,23:45:49 GMT,22.963,1,1,33250,35000,4,1,3.244,4.7,15.247
74,23:45:49 GMT,23.269,1,1,33250,35000,4,1,3.244,4.6,14.922
75,23:45:49 GMT,23.577,1,1,33250,35000,4,1,3.244,4.8,15.571
76,23:45:50 GMT,23.911,1,1,33250,35000,4,1,3.248,4.7,15.266
77,23:45:50 GMT,24.216,1,1,28500,30000,4,1,3.244,4.7,15.247
78,23:45:50 GMT,24.522,1,1,28500,30000,4,1,3.244,4.8,15.571
79,23:45:50 GMT,24.831,1,1,28500,30000,4,1,3.244,4.7,15.247
80,23:45:51 GMT,25.164,1,1,28500,30000,4,1,3.244,4.7,15.247
81,23:45:51 GMT,25.472,1,1,23750,25000,4,1,3.244,4.6,14.922
82,23:45:51 GMT,25.778,1,1,23750,25000,4,1,3.244,4.8,15.571
83,23:45:52 GMT,26.087,1,1,23750,25000,4,1,3.244,4.7,15.247
84,23:45:52 GMT,26.42,1,1,23750,25000,4,1,3.244,4.9,15.896
85,23:45:52 GMT,26.726,1,1,19000,20000,4,1,3.244,4.7,15.247
86,23:45:53 GMT,27.032,1,1,19000,20000,4,1,3.244,4.5,14.598
87,23:45:53 GMT,27.341,1,1,19000,20000,4,1,3.244,4.5,14.598
88,23:45:53 GMT,27.68,1,1,19000,20000,4,1,3.244,4.9,15.896
89,23:45:54 GMT,27.985,1,1,14250,15000,4,1,3.244,4.6,14.922
90,23:45:54 GMT,28.291,1,1,14250,15000,4,1,3.244,4.5,14.598
91,23:45:54 GMT,28.6,1,1,14250,15000,4,1,3.244,4.4,14.274
92,23:45:55 GMT,28.934,1,1,14250,15000,4,1,3.244,4.9,15.896
93,23:45:55 GMT,29.239,1,1,9500,10000,4,1,3.244,4.6,14.922
94,23:45:55 GMT,29.545,1,1,9500,10000,4,1,3.244,4.7,15.247
95,23:45:55 GMT,29.854,1,1,9500,10000,4,1,3.244,4.5,14.598
96,23:45:56 GMT,30.164,1,1,9500,10000,4,1,3.244,4.6,14.922
