entry,timeGMT,timeELA_s,CRC,exec,currSpeed_01_RPM,refSpeed_01_RPM,state,clcMode,voltage_V,current_mA,power_mW,rwID,startTime,fileName
1,22:33:51 GMT,0.323,1,1,9500,10000,4,1,3.268,5.2,16.994,RW-3,20200822153351,stepSpeedTest
2,22:33:51 GMT,0.631,1,1,9500,10000,4,1,3.268,4.7,15.36,RW-3,20200822153351,stepSpeedTest
3,22:33:52 GMT,0.94,1,1,9500,10000,4,1,3.268,4.6,15.033,RW-3,20200822153351,stepSpeedTest
4,22:33:52 GMT,1.274,1,1,9500,10000,4,1,3.268,4.7,15.36,RW-3,20200822153351,stepSpeedTest
5,22:33:52 GMT,1.579,1,1,14250,15000,4,1,3.268,4.8,15.686,RW-3,20200822153351,stepSpeedTest
6,22:33:53 GMT,1.885,1,1,14250,15000,4,1,3.268,4.8,15.686,RW-3,20200822153351,stepSpeedTest
7,22:33:53 GMT,2.194,1,1,14250,15000,4,1,3.268,4.9,16.013,RW-3,20200822153351,stepSpeedTest
8,22:33:53 GMT,2.533,1,1,14250,15000,4,1,3.264,4.8,15.667,RW-3,20200822153351,stepSpeedTest
9,22:33:54 GMT,2.839,1,1,19000,20000,4,1,3.264,4.5,14.688,RW-3,20200822153351,stepSpeedTest
10,22:33:54 GMT,3.144,1,1,19000,20000,4,1,3.268,4.8,15.686,RW-3,20200822153351,stepSpeedTest
11,22:33:54 GMT,3.454,1,1,19000,20000,4,1,3.264,4.9,15.994,RW-3,20200822153351,stepSpeedTest
12,22:33:55 GMT,3.787,1,1,19000,20000,4,1,3.268,4.6,15.033,RW-3,20200822153351,stepSpeedTest
13,22:33:55 GMT,4.093,1,1,23750,25000,4,1,3.268,4.8,15.686,RW-3,20200822153351,stepSpeedTest
14,22:33:55 GMT,4.399,1,1,23750,25000,4,1,3.268,4.9,16.013,RW-3,20200822153351,stepSpeedTest
15,22:33:56 GMT,4.708,1,1,23750,25000,4,1,3.264,4.9,15.994,RW-3,20200822153351,stepSpeedTest
16,22:33:56 GMT,5.047,1,1,23750,25000,4,1,3.268,4.6,15.033,RW-3,20200822153351,stepSpeedTest
17,22:33:56 GMT,5.359,1,1,28500,30000,4,1,3.268,4.7,15.36,RW-3,20200822153351,stepSpeedTest
18,22:33:57 GMT,5.665,1,1,28500,30000,4,1,3.268,4.8,15.686,RW-3,20200822153351,stepSpeedTest
19,22:33:57 GMT,5.974,1,1,28500,30000,4,1,3.268,4.8,15.686,RW-3,20200822153351,stepSpeedTest
20,22:33:57 GMT,6.313,1,1,28500,30000,4,1,3.268,5.0,16.34,RW-3,20200822153351,stepSpeedTest
21,22:33:57 GMT,6.619,1,1,33250,35000,4,1,3.268,4.7,15.36,RW-3,20200822153351,stepSpeedTest
22,22:33:58 GMT,6.925,0,1,33250,34908,4,1,3.264,4.6,15.014,RW-3,20200822153351,stepSpeedTest
23,22:33:58 GMT,7.235,1,1,33250,35000,4,1,3.268,4.8,15.686,RW-3,20200822153351,stepSpeedTest
24,22:33:58 GMT,7.568,1,1,33250,35000,4,1,3.264,4.6,15.014,RW-3,20200822153351,stepSpeedTest
25,22:33:59 GMT,7.874,1,1,38000,40000,4,1,3.268,5.0,16.34,RW-3,20200822153351,stepSpeedTest
26,22:33:59 GMT,8.18,1,1,38000,40000,4,1,3.268,4.7,15.36,RW-3,20200822153351,stepSpeedTest
27,22:33:59 GMT,8.489,1,1,38000,40000,4,1,3.268,4.7,15.36,RW-3,20200822153351,stepSpeedTest
28,22:34:00 GMT,8.828,1,1,38000,40000,4,1,3.268,5.2,16.994,RW-3,20200822153351,stepSpeedTest
29,22:34:00 GMT,9.133,1,1,42750,45000,4,1,3.264,5.1,16.646,RW-3,20200822153351,stepSpeedTest
30,22:34:00 GMT,9.439,1,1,42750,45000,4,1,3.268,5.0,16.34,RW-3,20200822153351,stepSpeedTest
31,22:34:01 GMT,9.749,1,1,42750,45000,4,1,3.268,4.9,16.013,RW-3,20200822153351,stepSpeedTest
32,22:34:01 GMT,10.082,1,1,42750,45000,4,1,3.268,4.6,15.033,RW-3,20200822153351,stepSpeedTest
33,22:34:01 GMT,10.388,1,1,47500,50000,4,1,3.264,4.6,15.014,RW-3,20200822153351,stepSpeedTest
34,22:34:02 GMT,10.694,1,1,47500,50000,4,1,3.268,4.5,14.706,RW-3,20200822153351,stepSpeedTest
35,22:34:02 GMT,11.003,1,1,47500,50000,4,1,3.268,4.8,15.686,RW-3,20200822153351,stepSpeedTest
36,22:34:02 GMT,11.342,1,1,47500,50000,4,1,3.268,4.9,16.013,RW-3,20200822153351,stepSpeedTest
37,22:34:02 GMT,11.648,1,1,52250,55000,4,1,3.268,4.9,16.013,RW-3,20200822153351,stepSpeedTest
38,22:34:03 GMT,11.954,1,1,52250,55000,4,1,3.268,4.7,15.36,RW-3,20200822153351,stepSpeedTest
39,22:34:03 GMT,12.263,1,1,52250,55000,4,1,3.268,4.7,15.36,RW-3,20200822153351,stepSpeedTest
40,22:34:03 GMT,12.602,1,1,52250,55000,4,1,3.268,4.7,15.36,RW-3,20200822153351,stepSpeedTest
41,22:34:04 GMT,12.907,1,1,57000,60000,4,1,3.268,4.7,15.36,RW-3,20200822153351,stepSpeedTest
42,22:34:04 GMT,13.213,1,1,57000,60000,4,1,3.268,4.8,15.686,RW-3,20200822153351,stepSpeedTest
43,22:34:04 GMT,13.523,1,1,57000,60000,4,1,3.268,4.7,15.36,RW-3,20200822153351,stepSpeedTest
44,22:34:05 GMT,13.856,1,1,57000,60000,4,1,3.268,4.7,15.36,RW-3,20200822153351,stepSpeedTest
45,22:34:05 GMT,14.162,1,1,61750,65000,4,1,3.264,4.7,15.341,RW-3,20200822153351,stepSpeedTest
46,22:34:05 GMT,14.468,1,1,61750,65000,4,1,3.268,5.0,16.34,RW-3,20200822153351,stepSpeedTest
47,22:34:06 GMT,14.777,1,1,61750,65000,4,1,3.268,4.7,15.36,RW-3,20200822153351,stepSpeedTest
48,22:34:06 GMT,15.11,1,1,61750,65000,4,1,3.268,4.6,15.033,RW-3,20200822153351,stepSpeedTest
49,22:34:06 GMT,15.416,1,1,61750,65000,4,1,3.268,4.6,15.033,RW-3,20200822153351,stepSpeedTest
50,22:34:07 GMT,15.927,1,1,61750,65000,4,1,3.268,4.9,16.013,RW-3,20200822153351,stepSpeedTest
51,22:34:07 GMT,16.247,1,1,61750,65000,4,1,3.268,4.8,15.686,RW-3,20200822153351,stepSpeedTest
52,22:34:07 GMT,16.557,1,1,57000,60000,4,1,3.268,4.7,15.36,RW-3,20200822153351,stepSpeedTest
53,22:34:08 GMT,16.867,1,1,57000,60000,4,1,3.268,4.9,16.013,RW-3,20200822153351,stepSpeedTest
54,22:34:08 GMT,17.177,1,1,57000,60000,4,1,3.268,4.6,15.033,RW-3,20200822153351,stepSpeedTest
55,22:34:08 GMT,17.515,1,1,57000,60000,4,1,3.264,4.7,15.341,RW-3,20200822153351,stepSpeedTest
56,22:34:09 GMT,17.821,1,1,52250,55000,4,1,3.268,4.8,15.686,RW-3,20200822153351,stepSpeedTest
57,22:34:09 GMT,18.127,0,1,8309786,55000,4,1,3.268,4.5,14.706,RW-3,20200822153351,stepSpeedTest
58,22:34:09 GMT,18.437,1,1,52250,55000,4,1,3.268,4.7,15.36,RW-3,20200822153351,stepSpeedTest
59,22:34:10 GMT,18.775,1,1,52250,55000,4,1,3.268,4.8,15.686,RW-3,20200822153351,stepSpeedTest
60,22:34:10 GMT,19.086,1,1,47500,50000,4,1,3.264,4.8,15.667,RW-3,20200822153351,stepSpeedTest
61,22:34:10 GMT,19.392,1,1,47500,50000,4,1,3.268,4.8,15.686,RW-3,20200822153351,stepSpeedTest
62,22:34:11 GMT,19.702,1,1,47500,50000,4,1,3.268,4.8,15.686,RW-3,20200822153351,stepSpeedTest
63,22:34:11 GMT,20.035,1,1,47500,50000,4,1,3.268,5.0,16.34,RW-3,20200822153351,stepSpeedTest
64,22:34:11 GMT,20.341,1,1,42750,45000,4,1,3.268,4.6,15.033,RW-3,20200822153351,stepSpeedTest
65,22:34:11 GMT,20.647,1,1,42750,45000,4,1,3.268,4.7,15.36,RW-3,20200822153351,stepSpeedTest
66,22:34:12 GMT,20.956,1,1,42750,45000,4,1,3.268,4.6,15.033,RW-3,20200822153351,stepSpeedTest
67,22:34:12 GMT,21.29,1,1,42750,45000,4,1,3.268,4.6,15.033,RW-3,20200822153351,stepSpeedTest
68,22:34:12 GMT,21.596,1,1,38000,40000,4,1,3.272,4.7,15.378,RW-3,20200822153351,stepSpeedTest
69,22:34:13 GMT,21.902,1,1,38000,40000,4,1,3.268,4.7,15.36,RW-3,20200822153351,stepSpeedTest
70,22:34:13 GMT,22.211,1,1,38000,40000,4,1,3.268,4.6,15.033,RW-3,20200822153351,stepSpeedTest
71,22:34:13 GMT,22.549,1,1,38000,40000,4,1,3.268,4.8,15.686,RW-3,20200822153351,stepSpeedTest
72,22:34:14 GMT,22.855,1,1,33250,35000,4,1,3.268,4.9,16.013,RW-3,20200822153351,stepSpeedTest
73,22:34:14 GMT,23.161,1,1,33250,35000,4,1,3.268,5.0,16.34,RW-3,20200822153351,stepSpeedTest
74,22:34:14 GMT,23.47,1,1,33250,35000,4,1,3.268,4.9,16.013,RW-3,20200822153351,stepSpeedTest
75,22:34:15 GMT,23.809,1,1,33250,35000,4,1,3.268,4.7,15.36,RW-3,20200822153351,stepSpeedTest
76,22:34:15 GMT,24.115,1,1,28500,30000,4,1,3.272,4.6,15.051,RW-3,20200822153351,stepSpeedTest
77,22:34:15 GMT,24.421,1,1,28500,30000,4,1,3.272,5.0,16.36,RW-3,20200822153351,stepSpeedTest
78,22:34:16 GMT,24.73,1,1,28500,30000,4,1,3.268,4.9,16.013,RW-3,20200822153351,stepSpeedTest
79,22:34:16 GMT,25.064,1,1,28500,30000,4,1,3.268,4.7,15.36,RW-3,20200822153351,stepSpeedTest
80,22:34:16 GMT,25.37,1,1,23750,25000,4,1,3.264,4.9,15.994,RW-3,20200822153351,stepSpeedTest
81,22:34:17 GMT,25.675,1,1,23750,25000,4,1,3.268,4.8,15.686,RW-3,20200822153351,stepSpeedTest
82,22:34:17 GMT,25.984,1,1,23750,25000,4,1,3.264,5.1,16.646,RW-3,20200822153351,stepSpeedTest
83,22:34:17 GMT,26.318,1,1,23750,25000,4,1,3.268,4.7,15.36,RW-3,20200822153351,stepSpeedTest
84,22:34:17 GMT,26.624,1,1,19000,20000,4,1,3.264,4.4,14.362,RW-3,20200822153351,stepSpeedTest
85,22:34:18 GMT,26.93,1,1,19000,20000,4,1,3.264,4.8,15.667,RW-3,20200822153351,stepSpeedTest
86,22:34:18 GMT,27.239,1,1,19000,20000,4,1,3.268,5.0,16.34,RW-3,20200822153351,stepSpeedTest
87,22:34:18 GMT,27.572,1,1,19000,20000,4,1,3.268,4.8,15.686,RW-3,20200822153351,stepSpeedTest
88,22:34:19 GMT,27.878,1,1,14250,15000,4,1,3.268,4.8,15.686,RW-3,20200822153351,stepSpeedTest
89,22:34:19 GMT,28.184,1,1,14250,15000,4,1,3.264,4.6,15.014,RW-3,20200822153351,stepSpeedTest
90,22:34:19 GMT,28.493,1,1,14250,15000,4,1,3.268,4.9,16.013,RW-3,20200822153351,stepSpeedTest
91,22:34:20 GMT,28.832,1,1,14250,15000,4,1,3.264,4.8,15.667,RW-3,20200822153351,stepSpeedTest
92,22:34:20 GMT,29.138,1,1,9500,10000,4,1,3.264,4.9,15.994,RW-3,20200822153351,stepSpeedTest
93,22:34:20 GMT,29.443,0,1,9500,8267536,4,1,3.268,5.0,16.34,RW-3,20200822153351,stepSpeedTest
94,22:34:21 GMT,29.753,1,1,9500,10000,4,1,3.268,4.6,15.033,RW-3,20200822153351,stepSpeedTest
95,22:34:21 GMT,30.063,1,1,9500,10000,4,1,3.268,4.8,15.686,RW-3,20200822153351,stepSpeedTest
