entry,timeGMT,timeELA_s,CRC,exec,currSpeed_01_RPM,refSpeed_01_RPM,state,clcMode,voltage_V,current_mA,power_mW,rwID,startTime,fileName
1,22:41:09 GMT,0.323,1,1,9500,10000,4,1,3.268,4.6,15.033,RW-3,20200822154109,stepSpeedTest
2,22:41:10 GMT,0.629,1,1,9500,10000,4,1,3.264,4.6,15.014,RW-3,20200822154109,stepSpeedTest
3,22:41:10 GMT,0.935,1,1,9500,10000,4,1,3.264,4.7,15.341,RW-3,20200822154109,stepSpeedTest
4,22:41:10 GMT,1.268,1,1,9500,10000,4,1,3.268,4.8,15.686,RW-3,20200822154109,stepSpeedTest
5,22:41:11 GMT,1.574,0,1,14250,32408,4,1,3.268,5.0,16.34,RW-3,20200822154109,stepSpeedTest
6,22:41:11 GMT,1.88,1,1,14250,15000,4,1,3.264,4.7,15.341,RW-3,20200822154109,stepSpeedTest
7,22:41:11 GMT,2.189,1,1,14250,15000,4,1,3.268,4.5,14.706,RW-3,20200822154109,stepSpeedTest
8,22:41:11 GMT,2.527,1,1,14250,15000,4,1,3.268,4.6,15.033,RW-3,20200822154109,stepSpeedTest
9,22:41:12 GMT,2.833,1,1,19000,20000,4,1,3.268,4.7,15.36,RW-3,20200822154109,stepSpeedTest
10,22:41:12 GMT,3.139,1,1,19000,20000,4,1,3.268,4.8,15.686,RW-3,20200822154109,stepSpeedTest
11,22:41:12 GMT,3.448,1,1,19000,20000,4,1,3.264,5.0,16.32,RW-3,20200822154109,stepSpeedTest
12,22:41:13 GMT,3.787,1,1,19000,20000,4,1,3.268,4.6,15.033,RW-3,20200822154109,stepSpeedTest
13,22:41:13 GMT,4.093,1,1,23750,25000,4,1,3.268,4.8,15.686,RW-3,20200822154109,stepSpeedTest
14,22:41:13 GMT,4.399,1,1,23750,25000,4,1,3.268,5.1,16.667,RW-3,20200822154109,stepSpeedTest
15,22:41:14 GMT,4.708,1,1,23750,25000,4,1,3.268,5.0,16.34,RW-3,20200822154109,stepSpeedTest
16,22:41:14 GMT,5.047,1,1,23750,25000,4,1,3.268,5.0,16.34,RW-3,20200822154109,stepSpeedTest
17,22:41:14 GMT,5.361,1,1,28500,30000,4,1,3.264,4.9,15.994,RW-3,20200822154109,stepSpeedTest
18,22:41:15 GMT,5.667,1,1,28500,30000,4,1,3.268,4.7,15.36,RW-3,20200822154109,stepSpeedTest
19,22:41:15 GMT,5.977,1,1,28500,30000,4,1,3.268,4.9,16.013,RW-3,20200822154109,stepSpeedTest
20,22:41:15 GMT,6.31,1,1,28500,30000,4,1,3.268,4.9,16.013,RW-3,20200822154109,stepSpeedTest
21,22:41:16 GMT,6.616,1,1,33250,35000,4,1,3.268,4.7,15.36,RW-3,20200822154109,stepSpeedTest
22,22:41:16 GMT,6.922,1,1,33250,35000,4,1,3.264,4.8,15.667,RW-3,20200822154109,stepSpeedTest
23,22:41:16 GMT,7.231,1,1,33250,35000,4,1,3.268,4.8,15.686,RW-3,20200822154109,stepSpeedTest
24,22:41:17 GMT,7.569,1,1,33250,35000,4,1,3.268,5.0,16.34,RW-3,20200822154109,stepSpeedTest
25,22:41:17 GMT,7.875,1,1,38000,40000,4,1,3.268,4.8,15.686,RW-3,20200822154109,stepSpeedTest
