entry,timeGMT,timeELA_s,CRC,exec,currSpeed_01_RPM,refSpeed_01_RPM,state,clcMode,voltage_V,current_mA,power_mW,testName,rwID,startTime
1,00:57:09 GMT,0.349,0,0,0,0,0,0,0.888,-0.3,-0.266,stepSpeedTest,RW3,20200908175708
2,00:57:09 GMT,0.66,0,0,0,0,0,0,0.884,-0.3,-0.265,stepSpeedTest,RW3,20200908175708
3,00:57:09 GMT,0.973,0,0,0,0,0,0,0.892,0.0,0.0,stepSpeedTest,RW3,20200908175708
4,00:57:10 GMT,1.36,0,0,0,0,0,0,0.888,-0.2,-0.178,stepSpeedTest,RW3,20200908175708
5,00:57:10 GMT,1.666,0,0,0,0,0,0,0.888,-0.5,-0.444,stepSpeedTest,RW3,20200908175708
6,00:57:10 GMT,1.973,0,0,0,0,0,0,0.892,-0.5,-0.446,stepSpeedTest,RW3,20200908175708
7,00:57:11 GMT,2.286,0,0,0,0,0,0,0.892,-0.1,-0.089,stepSpeedTest,RW3,20200908175708
8,00:57:11 GMT,2.672,0,0,0,0,0,0,0.892,-0.2,-0.178,stepSpeedTest,RW3,20200908175708
9,00:57:11 GMT,2.979,0,0,0,0,0,0,0.884,-0.4,-0.354,stepSpeedTest,RW3,20200908175708
10,00:57:12 GMT,3.286,0,0,0,0,0,0,0.888,-0.4,-0.355,stepSpeedTest,RW3,20200908175708
11,00:57:12 GMT,3.599,0,0,0,0,0,0,0.884,-0.6,-0.53,stepSpeedTest,RW3,20200908175708
12,00:57:12 GMT,3.955,0,0,0,0,0,0,0.892,-0.3,-0.268,stepSpeedTest,RW3,20200908175708
13,00:57:13 GMT,4.261,0,0,0,0,0,0,0.884,-0.3,-0.265,stepSpeedTest,RW3,20200908175708
14,00:57:13 GMT,4.568,0,0,0,0,0,0,0.888,0.0,0.0,stepSpeedTest,RW3,20200908175708
15,00:57:13 GMT,4.878,0,0,0,0,0,0,0.888,-0.1,-0.089,stepSpeedTest,RW3,20200908175708
16,00:57:14 GMT,5.218,0,0,0,0,0,0,0.892,-0.3,-0.268,stepSpeedTest,RW3,20200908175708
17,00:57:14 GMT,5.524,0,0,0,0,0,0,0.892,-0.2,-0.178,stepSpeedTest,RW3,20200908175708
18,00:57:14 GMT,5.831,0,0,0,0,0,0,0.884,-0.1,-0.088,stepSpeedTest,RW3,20200908175708
19,00:57:15 GMT,6.142,0,0,0,0,0,0,0.892,-0.1,-0.089,stepSpeedTest,RW3,20200908175708
20,00:57:15 GMT,6.519,0,0,0,0,0,0,0.892,-0.4,-0.357,stepSpeedTest,RW3,20200908175708
21,00:57:15 GMT,6.826,0,0,0,0,0,0,0.892,-0.1,-0.089,stepSpeedTest,RW3,20200908175708
22,00:57:16 GMT,7.134,0,0,0,0,0,0,0.884,-0.3,-0.265,stepSpeedTest,RW3,20200908175708
23,00:57:16 GMT,7.446,0,0,0,0,0,0,0.884,-0.4,-0.354,stepSpeedTest,RW3,20200908175708
24,00:57:16 GMT,7.837,0,0,0,0,0,0,0.892,-0.5,-0.446,stepSpeedTest,RW3,20200908175708
25,00:57:17 GMT,8.144,0,0,0,0,0,0,0.888,-0.4,-0.355,stepSpeedTest,RW3,20200908175708
26,00:57:17 GMT,8.451,0,0,0,0,0,0,0.888,-0.2,-0.178,stepSpeedTest,RW3,20200908175708
27,00:57:17 GMT,8.762,0,0,0,0,0,0,0.884,0.1,0.088,stepSpeedTest,RW3,20200908175708
28,00:57:18 GMT,9.149,0,0,0,0,0,0,0.88,-0.3,-0.264,stepSpeedTest,RW3,20200908175708
29,00:57:18 GMT,9.455,0,0,0,0,0,0,0.888,-0.4,-0.355,stepSpeedTest,RW3,20200908175708
30,00:57:18 GMT,9.762,0,0,0,0,0,0,0.884,-0.3,-0.265,stepSpeedTest,RW3,20200908175708
31,00:57:18 GMT,10.074,0,0,0,0,0,0,0.892,-0.2,-0.178,stepSpeedTest,RW3,20200908175708
32,00:57:19 GMT,10.46,0,0,0,0,0,0,0.892,-0.2,-0.178,stepSpeedTest,RW3,20200908175708
33,00:57:19 GMT,10.767,0,0,0,0,0,0,0.884,-0.5,-0.442,stepSpeedTest,RW3,20200908175708
34,00:57:19 GMT,11.078,0,0,0,0,0,0,0.892,-0.1,-0.089,stepSpeedTest,RW3,20200908175708
35,00:57:20 GMT,11.389,0,0,0,0,0,0,0.892,-0.3,-0.268,stepSpeedTest,RW3,20200908175708
36,00:57:20 GMT,11.744,0,0,0,0,0,0,0.892,-0.3,-0.268,stepSpeedTest,RW3,20200908175708
37,00:57:20 GMT,12.051,0,0,0,0,0,0,0.888,-0.2,-0.178,stepSpeedTest,RW3,20200908175708
38,00:57:21 GMT,12.36,0,0,0,0,0,0,0.888,-0.3,-0.266,stepSpeedTest,RW3,20200908175708
39,00:57:21 GMT,12.671,0,0,0,0,0,0,0.888,-0.3,-0.266,stepSpeedTest,RW3,20200908175708
40,00:57:21 GMT,13.011,0,0,0,0,0,0,0.888,-0.1,-0.089,stepSpeedTest,RW3,20200908175708
41,00:57:22 GMT,13.318,0,0,0,0,0,0,0.884,-0.3,-0.265,stepSpeedTest,RW3,20200908175708
42,00:57:22 GMT,13.624,0,0,0,0,0,0,0.892,-0.4,-0.357,stepSpeedTest,RW3,20200908175708
43,00:57:22 GMT,13.935,0,0,0,0,0,0,0.884,-0.4,-0.354,stepSpeedTest,RW3,20200908175708
44,00:57:23 GMT,14.285,0,0,0,0,0,0,0.888,-0.1,-0.089,stepSpeedTest,RW3,20200908175708
45,00:57:23 GMT,14.592,0,0,0,0,0,0,0.892,-0.2,-0.178,stepSpeedTest,RW3,20200908175708
46,00:57:23 GMT,14.899,0,0,0,0,0,0,0.88,-0.1,-0.088,stepSpeedTest,RW3,20200908175708
47,00:57:24 GMT,15.21,0,0,0,0,0,0,0.892,-0.4,-0.357,stepSpeedTest,RW3,20200908175708
48,00:57:24 GMT,15.585,0,0,0,0,0,0,0.892,-0.1,-0.089,stepSpeedTest,RW3,20200908175708
49,00:57:24 GMT,15.892,0,0,0,0,0,0,0.896,-0.6,-0.538,stepSpeedTest,RW3,20200908175708
50,00:57:25 GMT,16.201,0,0,0,0,0,0,0.884,-0.3,-0.265,stepSpeedTest,RW3,20200908175708
51,00:57:25 GMT,16.512,0,0,0,0,0,0,0.888,-0.1,-0.089,stepSpeedTest,RW3,20200908175708
52,00:57:25 GMT,16.872,0,0,0,0,0,0,0.896,-0.4,-0.358,stepSpeedTest,RW3,20200908175708
53,00:57:26 GMT,17.179,0,0,0,0,0,0,0.884,-0.4,-0.354,stepSpeedTest,RW3,20200908175708
54,00:57:26 GMT,17.486,0,0,0,0,0,0,0.888,-0.1,-0.089,stepSpeedTest,RW3,20200908175708
55,00:57:26 GMT,17.797,0,0,0,0,0,0,0.884,-0.3,-0.265,stepSpeedTest,RW3,20200908175708
56,00:57:27 GMT,18.167,0,0,0,0,0,0,0.884,-0.2,-0.177,stepSpeedTest,RW3,20200908175708
57,00:57:27 GMT,18.474,0,0,0,0,0,0,0.892,-0.2,-0.178,stepSpeedTest,RW3,20200908175708
58,00:57:27 GMT,18.783,0,0,0,0,0,0,0.888,-0.1,-0.089,stepSpeedTest,RW3,20200908175708
59,00:57:28 GMT,19.094,0,0,0,0,0,0,0.888,-0.3,-0.266,stepSpeedTest,RW3,20200908175708
60,00:57:28 GMT,19.475,0,0,0,0,0,0,0.892,-0.4,-0.357,stepSpeedTest,RW3,20200908175708
61,00:57:28 GMT,19.782,0,0,0,0,0,0,0.888,-0.4,-0.355,stepSpeedTest,RW3,20200908175708
62,00:57:28 GMT,20.089,0,0,0,0,0,0,0.892,-0.5,-0.446,stepSpeedTest,RW3,20200908175708
